Movie Rank,Movie Name,Year of Release,IMDB Rating,Runtime,Genre,Rated
1,The Dark Knight,2008,9,152,"
Action, Crime, Drama            ",PG-13
2,The Lord of the Rings: The Return of the King,2003,9,201,"
Action, Adventure, Drama            ",PG-13
3,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,178,"
Action, Adventure, Drama            ",PG-13
4,Inception,2010,8.8,148,"
Action, Adventure, Sci-Fi            ",PG-13
5,The Lord of the Rings: The Two Towers,2002,8.8,179,"
Action, Adventure, Drama            ",PG-13
6,The Matrix,1999,8.7,136,"
Action, Sci-Fi            ",R
7,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,124,"
Action, Adventure, Fantasy            ",PG
8,Star Wars,1977,8.6,121,"
Action, Adventure, Fantasy            ",PG
9,Terminator 2: Judgment Day,1991,8.6,137,"
Action, Sci-Fi            ",R
10,Sita Ramam,2022,8.6,163,"
Action, Drama, Mystery            ",N/A
11,Seven Samurai,1954,8.6,207,"
Action, Drama            ",Not Rated
12,Harakiri,1962,8.6,133,"
Action, Drama, Mystery            ",Not Rated
13,Léon: The Professional,1994,8.5,110,"
Action, Crime, Drama            ",R
14,Gladiator,2000,8.5,155,"
Action, Adventure, Drama            ",R
15,Kaithi,2019,8.5,145,"
Action, Adventure, Crime            ",Not Rated
16,Avengers: Endgame,2019,8.4,181,"
Action, Adventure, Drama            ",PG-13
17,Raiders of the Lost Ark,1981,8.4,115,"
Action, Adventure            ",PG
18,The Dark Knight Rises,2012,8.4,164,"
Action, Drama            ",PG-13
19,Spider-Man: Into the Spider-Verse,2018,8.4,117,"
Animation, Action, Adventure            ",PG
20,Aliens,1986,8.4,137,"
Action, Adventure, Sci-Fi            ",R
21,Avengers: Infinity War,2018,8.4,149,"
Action, Adventure, Sci-Fi            ",PG-13
22,Oldboy,2003,8.4,120,"
Action, Drama, Mystery            ",R
23,Kantara,2022,8.4,148,"
Action, Adventure, Drama            ",N/A
24,Princess Mononoke,1997,8.4,134,"
Animation, Action, Adventure            ",PG-13
25,Vikram,2022,8.4,175,"
Action, Crime, Thriller            ",N/A
26,Shershaah,2021,8.4,135,"
Action, Biography, Drama            ",TV-14
27,Asuran,2019,8.4,141,"
Action, Drama            ",Not Rated
28,Top Gun: Maverick,2022,8.3,130,"
Action, Drama            ",PG-13
29,Heat,1995,8.3,170,"
Action, Crime, Drama            ",R
30,North by Northwest,1959,8.3,136,"
Action, Adventure, Mystery            ",Approved
31,Star Wars: Episode VI - Return of the Jedi,1983,8.3,131,"
Action, Adventure, Fantasy            ",PG
32,Dangal,2016,8.3,161,"
Action, Biography, Drama            ",Not Rated
33,K.G.F: Chapter 2,2022,8.3,168,"
Action, Crime, Drama            ",Not Rated
34,Vikram Vedha,2017,8.3,147,"
Action, Crime, Drama            ",Not Rated
35,Spider-Man: No Way Home,2021,8.2,148,"
Action, Adventure, Fantasy            ",PG-13
36,Die Hard,1988,8.2,132,"
Action, Thriller            ",R
37,Jurassic Park,1993,8.2,127,"
Action, Adventure, Sci-Fi            ",PG-13
38,Indiana Jones and the Last Crusade,1989,8.2,127,"
Action, Adventure            ",PG-13
39,1917,2019,8.2,119,"
Action, Drama, War            ",R
40,Batman Begins,2005,8.2,140,"
Action, Crime, Drama            ",PG-13
41,Kill Bill: Vol. 1,2003,8.2,111,"
Action, Crime, Drama            ",R
42,Warrior,2011,8.2,140,"
Action, Drama, Sport            ",PG-13
43,"Lock, Stock and Two Smoking Barrels",1998,8.2,107,"
Action, Comedy, Crime            ",R
44,V for Vendetta,2005,8.2,132,"
Action, Drama, Sci-Fi            ",R
45,Ran,1985,8.2,162,"
Action, Drama, War            ",R
46,Demon Slayer the Movie: Mugen Train,2020,8.2,117,"
Animation, Action, Adventure            ",R
47,Major,2022,8.2,150,"
Action, Biography, Drama            ",N/A
48,Baahubali 2: The Conclusion,2017,8.2,167,"
Action, Drama            ",Not Rated
49,Yojimbo,1961,8.2,110,"
Action, Drama, Thriller            ",Not Rated
