TV Rank,TV Name,Year of Release,IMDB Rating,Runtime,Genre,Rated
1,Kaleidoscope,2023,6.8,373,"
Action, Crime, Drama            ",TV-MA
2,Jack Ryan,2018- ,8,60,"
Action, Drama, Thriller            ",TV-MA
3,Treason,2022,6.3,207,"
Action, Drama, Thriller            ",TV-MA
4,The Witcher: Blood Origin,2022,4.5,50,"
Action, Adventure, Drama            ",TV-MA
5,Alice in Borderland,2020- ,7.7,50,"
Action, Drama, Mystery            ",TV-MA
6,The Recruit,2022- ,7.5,55,"
Action, Adventure, Crime            ",TV-MA
7,Willow,2022- ,5.4,N/A,"
Action, Adventure, Drama            ",TV-14
8,The Last of Us,2023- ,9.6,N/A,"
Action, Adventure, Drama            ",TV-MA
9,Game of Thrones,2011-2019,9.2,57,"
Action, Adventure, Drama            ",TV-MA
10,Andor,2022- ,8.4,40,"
Action, Adventure, Drama            ",TV-14
11,House of the Dragon,2022- ,8.5,N/A,"
Action, Adventure, Drama            ",TV-MA
12,The Witcher,2019- ,8.1,60,"
Action, Adventure, Drama            ",TV-MA
13,The Boys,2019- ,8.7,60,"
Action, Comedy, Crime            ",TV-MA
14,National Treasure: Edge of History,2022- ,5.1,50,"
Action, Adventure, Mystery            ",TV-14
15,The Lord of the Rings: The Rings of Power,2022- ,6.9,N/A,"
Action, Adventure, Drama            ",TV-14
16,Star Wars: The Bad Batch,2021- ,7.8,N/A,"
Animation, Action, Adventure            ",TV-PG
17,The Rookie,2018- ,8,43,"
Action, Crime, Drama            ",TV-14
18,Doom Patrol,2019- ,7.8,60,"
Action, Adventure, Comedy            ",TV-MA
19,NCIS,2003- ,7.8,60,"
Action, Crime, Drama            ",TV-14
20,Vikings: Valhalla,2022- ,7.2,51,"
Action, Adventure, Drama            ",TV-MA
21,Vikings,2013-2020,8.5,44,"
Action, Adventure, Drama            ",TV-MA
22,Reacher,2022- ,8.1,49,"
Action, Crime, Drama            ",TV-MA
23,The Mandalorian,2019- ,8.7,40,"
Action, Adventure, Fantasy            ",TV-14
24,Echo 3,2022- ,6.5,49,"
Action, Drama, Thriller            ",TV-MA
25,Chainsaw Man,2022- ,8.6,25,"
Animation, Action, Adventure            ",TV-MA
26,The Last Kingdom,2015-2022,8.5,60,"
Action, Drama, History            ",TV-MA
27,Attack on Titan,2013-2023,9,24,"
Animation, Action, Adventure            ",TV-MA
28,Outer Banks,2020- ,7.6,50,"
Action, Crime, Drama            ",TV-MA
29,The Flash,2014-2023,7.6,43,"
Action, Adventure, Drama            ",TV-PG
30,Our Flag Means Death,2022- ,7.8,30,"
Action, Adventure, Biography            ",TV-MA
31,Titans,I) (2018- ,7.6,45,"
Action, Adventure, Crime            ",TV-MA
32,Chicago Fire,2012- ,8,43,"
Action, Drama            ",TV-14
33,SAS Rogue Heroes,2022,8.2,52,"
Action, Drama, Thriller            ",TV-MA
34,FBI,2018- ,7,60,"
Action, Crime, Drama            ",TV-14
35,One Piece,1999- ,8.9,24,"
Animation, Action, Adventure            ",TV-14
36,Chicago P.D.,2014- ,8.1,43,"
Action, Crime, Drama            ",TV-14
37,Star Trek: Strange New Worlds,2022- ,8.2,52,"
Action, Adventure, Sci-Fi            ",TV-PG
